t = 0.02; x1 = 0.761431; x2 = 0.0931585; flag = 2
t = 0.04; x1 = 0.656251; x2 = 0.0784447; flag = 2
t = 0.06; x1 = 0.567499; x2 = 0.0680847; flag = 2
t = 0.08; x1 = 0.493912; x2 = 0.0594781; flag = 2
t = 0.1; x1 = 0.432642; x2 = 0.0523225; flag = 2
t = 0.12; x1 = 0.381437; x2 = 0.0463137; flag = 2
t = 0.14; x1 = 0.338422; x2 = 0.0412521; flag = 2
t = 0.16; x1 = 0.302068; x2 = 0.0369877; flag = 2
t = 0.18; x1 = 0.271199; x2 = 0.0333408; flag = 2
t = 0.2; x1 = 0.244819; x2 = 0.0302131; flag = 2
t = 0.22; x1 = 0.222113; x2 = 0.0275347; flag = 2
t = 0.24; x1 = 0.202482; x2 = 0.0251938; flag = 2
t = 0.26; x1 = 0.185391; x2 = 0.0231465; flag = 2
t = 0.28; x1 = 0.170401; x2 = 0.0213667; flag = 2
t = 0.3; x1 = 0.15721; x2 = 0.0197772; flag = 2
t = 0.32; x1 = 0.145524; x2 = 0.0183616; flag = 2
t = 0.34; x1 = 0.135096; x2 = 0.0171146; flag = 2
t = 0.36; x1 = 0.125778; x2 = 0.0159776; flag = 2
t = 0.38; x1 = 0.1174; x2 = 0.0149488; flag = 2
t = 0.4; x1 = 0.109811; x2 = 0.0140351; flag = 2
Adams: 
t = 0.0002; x1 = 0.0467674; x2 = 0.95176; flag = 2
t = 0.0004; x1 = 0.0903754; x2 = 0.906701; flag = 2
t = 0.0006; x1 = 0.131011; x2 = 0.864639; flag = 2
t = 0.0008; x1 = 0.173943; x2 = 0.820117
t = 0.0028; x1 = 0.482229; x2 = 0.496101
t = 0.0048; x1 = 0.645398; x2 = 0.317505
t = 0.0068; x1 = 0.728974; x2 = 0.2188
t = 0.0088; x1 = 0.768985; x2 = 0.163951
t = 0.0108; x1 = 0.785201; x2 = 0.133182
t = 0.0128; x1 = 0.788469; x2 = 0.115642
t = 0.0148; x1 = 0.784739; x2 = 0.105372
t = 0.0168; x1 = 0.777275; x2 = 0.099106
t = 0.0188; x1 = 0.767865; x2 = 0.0950483
t = 0.0208; x1 = 0.757488; x2 = 0.0922144
t = 0.0228; x1 = 0.746681; x2 = 0.0900637
t = 0.0248; x1 = 0.735735; x2 = 0.0882991
t = 0.0268; x1 = 0.724808; x2 = 0.0867575
t = 0.0288; x1 = 0.713985; x2 = 0.0853491
t = 0.0308; x1 = 0.703311; x2 = 0.0840244
t = 0.0328; x1 = 0.692809; x2 = 0.082756
t = 0.0348; x1 = 0.682488; x2 = 0.0815288
t = 0.0368; x1 = 0.672354; x2 = 0.080334
t = 0.0388; x1 = 0.662406; x2 = 0.0791669
t = 0.0408; x1 = 0.652643; x2 = 0.0780245
t = 0.0428; x1 = 0.643063; x2 = 0.0769051
t = 0.0448; x1 = 0.633662; x2 = 0.0758075
t = 0.0468; x1 = 0.624438; x2 = 0.0747309
t = 0.0488; x1 = 0.615386; x2 = 0.0736745
t = 0.0508; x1 = 0.606504; x2 = 0.072638
t = 0.0528; x1 = 0.597788; x2 = 0.0716208
t = 0.0548; x1 = 0.589235; x2 = 0.0706225
t = 0.0568; x1 = 0.580841; x2 = 0.0696427
